Sample,Weight (mg),Analysis,Algae Species,C%,N%,15N,13C,Laboratory
ONElee01D,20.002,CN,Turbinaria ornata,24.0789,0.40082,3.51546611,-8.802495325,"British Geological Survey (Nottingham, UK)"
ONElee01D,20.784,CN,Turbinaria ornata,23.794,0.395023,3.439114065,-8.555338439,"British Geological Survey (Nottingham, UK)"
ONElee09C,19.905,CN,Turbinaria ornata,20.0915,0.665962,3.952852711,-8.820290123,"British Geological Survey (Nottingham, UK)"
ONElee09C,20.151,CN,Turbinaria ornata,21.0312,0.587786,4.129227367,-9.08269446,"British Geological Survey (Nottingham, UK)"
REIlee01D,19.973,CN,Turbinaria ornata,23.4351,0.430654,6.942838579,-9.759250018,"British Geological Survey (Nottingham, UK)"
REIlee01D,20.851,CN,Turbinaria ornata,22.0664,0.465082,6.940083072,-9.096169929,"British Geological Survey (Nottingham, UK)"
REIwind01A,21.11,CN,Turbinaria ornata,28.4687,0.512494,6.810267169,-9.461833782,"British Geological Survey (Nottingham, UK)"
REIwind01A,19.973,CN,Turbinaria ornata,28.3177,0.488881,6.838688292,-9.252867671,"British Geological Survey (Nottingham, UK)"
RIMlee03A,20.693,CN,Turbinaria ornata,26.8053,0.54268,4.386688897,-7.307976726,"British Geological Survey (Nottingham, UK)"
RIMlee03A,20.088,CN,Turbinaria ornata,27.1038,0.611395,4.484800305,-7.393472075,"British Geological Survey (Nottingham, UK)"
RIMlee05A,19.819,CN,Turbinaria ornata,24.9951,0.593444,4.366250617,-7.632448734,"British Geological Survey (Nottingham, UK)"
RIMlee05A,19.235,CN,Turbinaria ornata,25.6214,0.602783,4.396149803,-7.52644113,"British Geological Survey (Nottingham, UK)"
RIMlee05C,19.749,CN,Turbinaria ornata,22.7291,0.56773,4.001453234,-10.03100768,"British Geological Survey (Nottingham, UK)"
RIMlee05C,20.816,CN,Turbinaria ornata,23.558,0.598699,4.045620432,-9.992284737,"British Geological Survey (Nottingham, UK)"
RIMlee06A,20.223,CN,Turbinaria ornata,24.2704,0.660824,4.480840085,-9.628347252,"British Geological Survey (Nottingham, UK)"
RIMlee06A,20.368,CN,Turbinaria ornata,22.7614,0.669781,4.469007524,-9.552441682,"British Geological Survey (Nottingham, UK)"
RIMlee06B,20.423,CN,Turbinaria ornata,24.791,0.492518,4.08087779,-8.279160495,"British Geological Survey (Nottingham, UK)"
RIMlee06B,19.735,CN,Turbinaria ornata,25.8932,0.472204,4.017920668,-8.644315921,"British Geological Survey (Nottingham, UK)"
RIMlee06C,20.616,CN,Turbinaria ornata,24.9341,0.573825,4.169963972,-8.938038878,"British Geological Survey (Nottingham, UK)"
RIMlee06C,21.228,CN,Turbinaria ornata,24.6346,0.55135,4.128100394,-8.979862209,"British Geological Survey (Nottingham, UK)"
RIMlee06D,20.85,CN,Turbinaria ornata,26.9841,0.489555,3.868968333,-7.311120556,"British Geological Survey (Nottingham, UK)"
RIMlee06D,19.568,CN,Turbinaria ornata,26.8179,0.491346,3.867163079,-7.400363831,"British Geological Survey (Nottingham, UK)"
RIMwind01B,20.132,CN,Turbinaria ornata,20.4776,0.62741,7.443102217,-10.72748554,"British Geological Survey (Nottingham, UK)"
RIMwind01B,20.188,CN,Turbinaria ornata,21.0649,0.647028,7.483638907,-10.88747396,"British Geological Survey (Nottingham, UK)"
RIMwind03C,19.537,CN,Turbinaria ornata,20.3381,0.559409,7.511234734,-9.295802673,"British Geological Survey (Nottingham, UK)"
RIMwind03C,20.731,CN,Turbinaria ornata,18.098,0.578915,7.420468142,-8.741750378,"British Geological Survey (Nottingham, UK)"
AIEwind02C,20.004,CN,Turbinaria ornata,24.9653,0.528449,7.605895538,-10.14430698,"British Geological Survey (Nottingham, UK)"
AIEwind02C,20.382,CN,Turbinaria ornata,24.6145,0.540631,7.568054153,-10.23734575,"British Geological Survey (Nottingham, UK)"
AIElee02C,20.076,CN,Turbinaria ornata,22.2116,0.553488,7.00117026,-9.224750069,"British Geological Survey (Nottingham, UK)"
AIElee02C,20.315,CN,Turbinaria ornata,20.632,0.549284,6.987879274,-9.209686998,"British Geological Survey (Nottingham, UK)"
