"Habitat","Hab_Cod"
"Shallow fore reef slope",2
"Shallow fore reef terrace",1
"Coralline algal ridge",5
"Deep fore reef slope",3
"Back reef coral framework",9
"Back reef coral bommies",10
"Back reef sediment dominated",7
"Back reef rubble dominated",6
"Back reef pavement",8
"Rock",34
"Beach sand",30
"Coral rubble",35
"Terrestrial vegetation",29
"Lagoonal pinnacle reefs massive coral dominated",17
"Lagoonal floor barren",14
"Lagoonal patch reefs",20
"Lagoonal floor coral bommies",21
"Lagoonal sediment apron sediment dominated",12
"Deep lagoonal water",28
"Urban",33
"Lagoonal floor macroalgae on sediment",15
"Area not mapped",0
