Analysis name,Sample ID,15N,13C,N%,C%
240814 BGS Turb Tray A1.raw,LEC1_ONE 1EE O1D,3.12,-9.18,0.36,23.72
240814 BGS Turb Tray A2.raw,LEC2_AIE wind 02C,7.38,-10.19,0.51,25.08
240814 BGS Turb Tray A3.raw,LEC2_AIE wind 02C dup,7.21,-10.19,0.5,25.01
240814 BGS Turb Tray A4.raw,LEC2_AIE wind 02C trip,7.36,-10.11,0.49,25.01
240814 BGS Turb Tray A5.raw,LEC10_REI 1EE O1D,6.86,-9.71,0.44,22.72
240814 BGS Turb Tray A6.raw,LEC7_RIM 1EE 05A,4.12,-8.09,0.5,25.52
240814 BGS Turb Tray A7.raw,LEC9_RIM 1EE 06D,3.78,-7.48,0.38,27.58
240814 BGS Turb Tray A8.raw,LEC8_ONE 1EE 09C,3.94,-9.27,0.62,20.8
240814 BGS Turb Tray A9.raw,LEC15_RIM 1EE 06B,3.98,-9.22,0.42,26.34
240814 BGS Turb Tray A10.raw,LEC5_RIM wind 03C,7.44,-10.18,0.52,21.16
240814 BGS Turb Tray A11.raw,LEC4_RIM 1EE 03A,4.15,-7.62,0.46,26.4
240814 BGS Turb Tray A12.raw,LEC4_RIM 1EE 03A dup,4.22,-7.65,0.47,26.37
240814 BGS Turb Tray B1.raw,LEC4_RIM 1EE 03A trip,4.23,-7.72,0.46,26.42
240814 BGS Turb Tray B2.raw,LEC13_RIM 1EE 05C,3.97,-11.39,0.56,24.08
240814 BGS Turb Tray B3.raw,LEC3_AIE 1EE 02C,6.92,-9.52,0.52,23.54
240814 BGS Turb Tray B4.raw,LEC11_RIM 1EE 06C,4.07,-9.88,0.5,24.85
240814 BGS Turb Tray B5.raw,LEC6_RIM wind 01B,7.31,-11.71,0.56,22.71
240814 BGS Turb Tray B6.raw,LEC12_RIM 1EE 06A,4.32,-9.97,0.55,24.86
240814 BGS Turb Tray B7.raw,LEC12_RIM 1EE 06A dup,4.45,-9.98,0.55,24.79
240814 BGS Turb Tray B8.raw,LEC12_RIM 1EE 06A trip,4.38,-9.9,0.55,24.75
240814 BGS Turb Tray B9.raw,LEC14_REI wind 01A,6.9,-9.72,0.4,27.62
240814 BGS Turb Tray B10.raw,LEC14_REI wind 01A dup,6.92,-9.75,0.39,27.61
240814 BGS Turb Tray B11.raw,LEC14_REI wind 01A trip,6.91,-9.71,0.4,27.57
