"Motu","Transect","Transect_Start","Transect_End","avg_breeding_density_ha_transect","std_breeding_density_ha_transect","avg_breeding_biomass_kgha_transect","std_breeding_biomass_kgha_transect","Latitude","Longitude","Start_or_End"
"Aie","0945to0946","0945","0946",580,650.538238691624,266.82,256.340350315747,-17.0081763714552,-149.536409536377,"Start"
"Aie","0945to0946","0945","0946",580,650.538238691624,266.82,256.340350315747,-17.0087960455567,-149.53574267216,"End"
"Aie","0946to0947","0946","0947",1820,1329.36074863071,642.66,317.943493092719,-17.0087960455567,-149.53574267216,"Start"
"Aie","0946to0947","0946","0947",1820,1329.36074863071,642.66,317.943493092719,-17.0091917552054,-149.534870786592,"End"
"Aie","0947to0948","0947","0948",1540,197.989898732233,291.06,37.4200908603921,-17.0091917552054,-149.534870786592,"Start"
"Aie","0947to0948","0947","0948",1540,197.989898732233,291.06,37.4200908603921,-17.0091006439179,-149.534242227674,"End"
"Aie","0948to0949","0948","0949",600,339.411254969543,396.36,153.074475991264,-17.0091006439179,-149.534242227674,"Start"
"Aie","0948to0949","0948","0949",600,339.411254969543,396.36,153.074475991264,-17.0083652995527,-149.534740028903,"End"
"Aie","0949to0950","0949","0950",680,0,348.6,88.9257488020203,-17.0083652995527,-149.534740028903,"Start"
"Aie","0949to0950","0949","0950",680,0,348.6,88.9257488020203,-17.0077284425497,-149.535402785987,"End"
"Aie","0950to0945","0950","0945",2240,1018.23376490863,2184,992.777920785913,-17.0077284425497,-149.535402785987,"Start"
"Aie","0950to0945","0950","0945",2240,1018.23376490863,2184,992.777920785913,-17.0081763714552,-149.536409536377,"End"
"Auroa","0540to0541","0540","0541",800,226.274169979695,780,220.617315730203,-16.9891556538641,-149.562811022624,"Start"
"Auroa","0540to0541","0540","0541",800,226.274169979695,780,220.617315730203,-16.9885020330548,-149.562219679356,"End"
"Auroa","0541to0542","0541","0542",980,254.558441227157,955.5,248.194480196478,-16.9885020330548,-149.562219679356,"Start"
"Auroa","0541to0542","0541","0542",980,254.558441227157,955.5,248.194480196478,-16.9876002240926,-149.562145499513,"End"
"Auroa","0542to0543","0542","0543",1200,282.842712474619,1170,275.771644662754,-16.9876002240926,-149.562145499513,"Start"
"Auroa","0542to0543","0542","0543",1200,282.842712474619,1170,275.771644662754,-16.9867233932018,-149.562332918867,"End"
"Auroa","0543to0544","0543","0544",1140,28.2842712474619,1111.5,27.5771644662754,-16.9867233932018,-149.562332918867,"Start"
"Auroa","0543to0544","0543","0544",1140,28.2842712474619,1111.5,27.5771644662754,-16.9857602287084,-149.562693843618,"End"
"Auroa","0544to0545","0544","0545",740,28.2842712474619,741.84,1.18793939239344,-16.9857602287084,-149.562693843618,"Start"
