"Motu","TransectStart","TransectEnd","avg_breeding_density_ha_transect","std_breeding_density_ha_transect","avg_breeding_biomass_kgha_transect","std_breeding_biomass_kgha_transect","Latitude_Start","Longitude_Start","Latitude_End","Longitude_End"
"Aie","0945","0946",580,650.538238691624,266.82,256.340350315747,-17.0081763714552,-149.536409536377,-17.0087960455567,-149.53574267216
"Aie","0946","0947",1820,1329.36074863071,642.66,317.943493092719,-17.0087960455567,-149.53574267216,-17.0091917552054,-149.534870786592
"Aie","0947","0948",1540,197.989898732233,291.06,37.4200908603921,-17.0091917552054,-149.534870786592,-17.0091006439179,-149.534242227674
"Aie","0948","0949",600,339.411254969543,396.36,153.074475991264,-17.0091006439179,-149.534242227674,-17.0083652995527,-149.534740028903
"Aie","0949","0950",680,0,348.6,88.9257488020203,-17.0083652995527,-149.534740028903,-17.0077284425497,-149.535402785987
"Aie","0950","0945",2240,1018.23376490863,2184,992.777920785913,-17.0077284425497,-149.535402785987,-17.0081763714552,-149.536409536377
"Auroa","0540","0541",800,226.274169979695,780,220.617315730203,-16.9891556538641,-149.562811022624,-16.9885020330548,-149.562219679356
"Auroa","0541","0542",980,254.558441227157,955.5,248.194480196478,-16.9885020330548,-149.562219679356,-16.9876002240926,-149.562145499513
"Auroa","0542","0543",1200,282.842712474619,1170,275.771644662754,-16.9876002240926,-149.562145499513,-16.9867233932018,-149.562332918867
"Auroa","0543","0544",1140,28.2842712474619,1111.5,27.5771644662754,-16.9867233932018,-149.562332918867,-16.9857602287084,-149.562693843618
"Auroa","0544","0545",740,28.2842712474619,741.84,1.18793939239344,-16.9857602287084,-149.562693843618,-16.9852670375258,-149.56276726909
"Auroa","0545","0546",380,28.2842712474619,384.06,46.7539003720545,-16.9852670375258,-149.56276726909,-16.9850499462336,-149.562914622948
"Auroa","0547","0548",1600,169.705627484771,1587.12,146.286250891873,-16.9850574899465,-149.563020067289,-16.9859211612493,-149.563213270158
"Auroa","0548","0549",2060,537.401153701776,2008.5,523.966124859232,-16.9859211612493,-149.563213270158,-16.986768823117,-149.563494818285
"Auroa","0549","0550",880,169.705627484771,858,165.462986797652,-16.986768823117,-149.563494818285,-16.9876417983323,-149.56370905973
"Auroa","0550","0552",80,NA,78,NA,-16.9876417983323,-149.56370905973,-16.9884926453233,-149.563374454156
